run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.20_a0.50_s0,0,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,random,0.5,False,10000,0.271
prisoners_HRG_T1.20_a0.50_s0,0,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.237
prisoners_HRG_T1.20_a0.50_s1,1,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,random,0.5,False,10000,0.227
prisoners_HRG_T1.20_a0.50_s1,1,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.259
prisoners_HRG_T1.20_a0.50_s2,2,prisoners,HRG,1000,4.0,1.2,0.5,1.0,1.0,random,0.5,False,10000,0.248
prisoners_HRG_T1.20_a0.50_s2,2,prisoners,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.263
prisoners_HRG_T1.20_a0.50_s3,3,prisoners,HRG,1000,4.0,1.2,0.5,1.0,1.0,random,0.5,False,10000,0.232
prisoners_HRG_T1.20_a0.50_s3,3,prisoners,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.275
prisoners_HRG_T1.20_a0.50_s4,4,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,random,0.5,False,10000,0.261
prisoners_HRG_T1.20_a0.50_s4,4,prisoners,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.289
prisoners_HRG_T1.20_a0.70_s0,0,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,random,0.5,False,10000,0.314
prisoners_HRG_T1.20_a0.70_s0,0,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.367
prisoners_HRG_T1.20_a0.70_s1,1,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,random,0.5,False,10000,0.353
prisoners_HRG_T1.20_a0.70_s1,1,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.399
prisoners_HRG_T1.20_a0.70_s2,2,prisoners,HRG,1000,4.0,1.2,0.7,1.0,1.0,random,0.5,False,10000,0.31
prisoners_HRG_T1.20_a0.70_s2,2,prisoners,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.382
prisoners_HRG_T1.20_a0.70_s3,3,prisoners,HRG,1000,4.0,1.2,0.7,1.0,1.0,random,0.5,False,10000,0.319
prisoners_HRG_T1.20_a0.70_s3,3,prisoners,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.376
prisoners_HRG_T1.20_a0.70_s4,4,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,random,0.5,False,10000,0.353
prisoners_HRG_T1.20_a0.70_s4,4,prisoners,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.351
prisoners_HRG_T1.20_a0.90_s0,0,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,random,0.5,False,10000,0.46
prisoners_HRG_T1.20_a0.90_s0,0,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.545
prisoners_HRG_T1.20_a0.90_s1,1,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,random,0.5,False,10000,0.477
prisoners_HRG_T1.20_a0.90_s1,1,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.588
prisoners_HRG_T1.20_a0.90_s2,2,prisoners,HRG,1000,4.0,1.2,0.9,1.0,1.0,random,0.5,False,10000,0.475
prisoners_HRG_T1.20_a0.90_s2,2,prisoners,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.598
prisoners_HRG_T1.20_a0.90_s3,3,prisoners,HRG,1000,4.0,1.2,0.9,1.0,1.0,random,0.5,False,10000,0.446
prisoners_HRG_T1.20_a0.90_s3,3,prisoners,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.557
prisoners_HRG_T1.20_a0.90_s4,4,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,random,0.5,False,10000,0.535
prisoners_HRG_T1.20_a0.90_s4,4,prisoners,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.556
prisoners_HRG_T1.30_a0.00_s0,0,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,random,0.5,False,10000,0.063
prisoners_HRG_T1.30_a0.00_s0,0,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.068
prisoners_HRG_T1.30_a0.00_s1,1,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,random,0.5,False,10000,0.064
prisoners_HRG_T1.30_a0.00_s1,1,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
prisoners_HRG_T1.30_a0.00_s2,2,prisoners,HRG,1000,4.0,1.3,0.0,1.0,1.0,random,0.5,False,10000,0.064
prisoners_HRG_T1.30_a0.00_s2,2,prisoners,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.093
prisoners_HRG_T1.30_a0.00_s3,3,prisoners,HRG,1000,4.0,1.3,0.0,1.0,1.0,random,0.5,False,10000,0.091
prisoners_HRG_T1.30_a0.00_s3,3,prisoners,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.064
prisoners_HRG_T1.30_a0.00_s4,4,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,random,0.5,False,10000,0.091
prisoners_HRG_T1.30_a0.00_s4,4,prisoners,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
prisoners_HRG_T1.30_a0.30_s0,0,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,random,0.5,False,10000,0.113
prisoners_HRG_T1.30_a0.30_s0,0,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.098
prisoners_HRG_T1.30_a0.30_s1,1,prisoners,HRG,1000,3.998,1.3,0.3,1.0,1.0,random,0.5,False,10000,0.109
