run_id,seed,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
HRG_T1.10_a0.90_s2,2,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.608
HRG_T1.10_a0.90_s3,3,HRG,1000,4.0,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.57
HRG_T1.10_a0.90_s4,4,HRG,1000,3.998,1.1,0.9,1.0,1.0,nearest,0.5,False,10000,0.562
HRG_T1.20_a0.00_s0,0,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.104
HRG_T1.20_a0.00_s1,1,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.148
HRG_T1.20_a0.00_s2,2,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s3,3,HRG,1000,4.0,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.20_a0.00_s4,4,HRG,1000,3.998,1.2,0.0,1.0,1.0,nearest,0.5,False,10000,0.126
HRG_T1.20_a0.30_s0,0,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.191
HRG_T1.20_a0.30_s1,1,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.20_a0.30_s2,2,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.227
HRG_T1.20_a0.30_s3,3,HRG,1000,4.0,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.209
HRG_T1.20_a0.30_s4,4,HRG,1000,3.998,1.2,0.3,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.20_a0.50_s0,0,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.237
HRG_T1.20_a0.50_s1,1,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.259
HRG_T1.20_a0.50_s2,2,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.263
HRG_T1.20_a0.50_s3,3,HRG,1000,4.0,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.275
HRG_T1.20_a0.50_s4,4,HRG,1000,3.998,1.2,0.5,1.0,1.0,nearest,0.5,False,10000,0.289
HRG_T1.20_a0.70_s0,0,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.367
HRG_T1.20_a0.70_s1,1,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.399
HRG_T1.20_a0.70_s2,2,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.382
HRG_T1.20_a0.70_s3,3,HRG,1000,4.0,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.376
HRG_T1.20_a0.70_s4,4,HRG,1000,3.998,1.2,0.7,1.0,1.0,nearest,0.5,False,10000,0.351
HRG_T1.20_a0.90_s0,0,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.545
HRG_T1.20_a0.90_s1,1,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.588
HRG_T1.20_a0.90_s2,2,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.598
HRG_T1.20_a0.90_s3,3,HRG,1000,4.0,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.557
HRG_T1.20_a0.90_s4,4,HRG,1000,3.998,1.2,0.9,1.0,1.0,nearest,0.5,False,10000,0.556
HRG_T1.30_a0.00_s0,0,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.068
HRG_T1.30_a0.00_s1,1,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.00_s2,2,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.093
HRG_T1.30_a0.00_s3,3,HRG,1000,4.0,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.064
HRG_T1.30_a0.00_s4,4,HRG,1000,3.998,1.3,0.0,1.0,1.0,nearest,0.5,False,10000,0.081
HRG_T1.30_a0.30_s0,0,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.098
HRG_T1.30_a0.30_s1,1,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.168
HRG_T1.30_a0.30_s2,2,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.159
HRG_T1.30_a0.30_s3,3,HRG,1000,4.0,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.137
HRG_T1.30_a0.30_s4,4,HRG,1000,3.998,1.3,0.3,1.0,1.0,nearest,0.5,False,10000,0.13
HRG_T1.30_a0.50_s0,0,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.145
HRG_T1.30_a0.50_s1,1,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.211
HRG_T1.30_a0.50_s2,2,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.192
HRG_T1.30_a0.50_s3,3,HRG,1000,4.0,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.213
HRG_T1.30_a0.50_s4,4,HRG,1000,3.998,1.3,0.5,1.0,1.0,nearest,0.5,False,10000,0.185
HRG_T1.30_a0.70_s0,0,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.336
HRG_T1.30_a0.70_s1,1,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.333
HRG_T1.30_a0.70_s2,2,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.313
HRG_T1.30_a0.70_s3,3,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.31
HRG_T1.30_a0.70_s4,4,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.305
HRG_T1.30_a0.90_s0,0,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.506
HRG_T1.30_a0.90_s1,1,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.585
HRG_T1.30_a0.90_s2,2,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.578
HRG_T1.30_a0.90_s3,3,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.538
HRG_T1.30_a0.90_s4,4,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.551
HRG_T1.40_a0.00_s0,0,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.032
HRG_T1.40_a0.00_s1,1,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.059
HRG_T1.40_a0.00_s2,2,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.067
HRG_T1.40_a0.00_s3,3,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.051
HRG_T1.40_a0.00_s4,4,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.057
HRG_T1.40_a0.30_s0,0,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.085
HRG_T1.40_a0.30_s1,1,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.094
HRG_T1.40_a0.30_s2,2,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.095
HRG_T1.40_a0.30_s3,3,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.079
HRG_T1.40_a0.30_s4,4,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.088
HRG_T1.40_a0.50_s0,0,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.13
HRG_T1.40_a0.50_s1,1,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.154
HRG_T1.40_a0.50_s2,2,HRG,1000,4.0,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.155
HRG_T1.40_a0.50_s3,3,HRG,1000,4.0,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.156
HRG_T1.40_a0.50_s4,4,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.139
HRG_T1.40_a0.70_s0,0,HRG,1000,3.998,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.244
HRG_T1.40_a0.70_s1,1,HRG,1000,3.998,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.25
HRG_T1.40_a0.70_s2,2,HRG,1000,4.0,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.285
HRG_T1.40_a0.70_s3,3,HRG,1000,4.0,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.276
HRG_T1.40_a0.70_s4,4,HRG,1000,3.998,1.4,0.7,1.0,1.0,nearest,0.5,False,10000,0.272
HRG_T1.40_a0.90_s0,0,HRG,1000,3.998,1.4,0.9,1.0,1.0,nearest,0.5,False,10000,0.49
HRG_T1.40_a0.90_s1,1,HRG,1000,3.998,1.4,0.9,1.0,1.0,nearest,0.5,False,10000,0.569
HRG_T1.40_a0.90_s2,2,HRG,1000,4.0,1.4,0.9,1.0,1.0,nearest,0.5,False,10000,0.541
HRG_T1.40_a0.90_s3,3,HRG,1000,4.0,1.4,0.9,1.0,1.0,nearest,0.5,False,10000,0.537
HRG_T1.40_a0.90_s4,4,HRG,1000,3.998,1.4,0.9,1.0,1.0,nearest,0.5,False,10000,0.519
HRG_T1.50_a0.00_s0,0,HRG,1000,3.998,1.5,0.0,1.0,1.0,nearest,0.5,False,10000,0.033
HRG_T1.50_a0.00_s1,1,HRG,1000,3.998,1.5,0.0,1.0,1.0,nearest,0.5,False,10000,0.029
HRG_T1.50_a0.00_s2,2,HRG,1000,4.0,1.5,0.0,1.0,1.0,nearest,0.5,False,10000,0.043
HRG_T1.50_a0.00_s3,3,HRG,1000,4.0,1.5,0.0,1.0,1.0,nearest,0.5,False,10000,0.03
HRG_T1.50_a0.00_s4,4,HRG,1000,3.998,1.5,0.0,1.0,1.0,nearest,0.5,False,10000,0.046
HRG_T1.50_a0.30_s0,0,HRG,1000,3.998,1.5,0.3,1.0,1.0,nearest,0.5,False,10000,0.046
HRG_T1.50_a0.30_s1,1,HRG,1000,3.998,1.5,0.3,1.0,1.0,nearest,0.5,False,10000,0.074
HRG_T1.50_a0.30_s2,2,HRG,1000,4.0,1.5,0.3,1.0,1.0,nearest,0.5,False,10000,0.078
HRG_T1.50_a0.30_s3,3,HRG,1000,4.0,1.5,0.3,1.0,1.0,nearest,0.5,False,10000,0.057
HRG_T1.50_a0.30_s4,4,HRG,1000,3.998,1.5,0.3,1.0,1.0,nearest,0.5,False,10000,0.057
HRG_T1.50_a0.50_s0,0,HRG,1000,3.998,1.5,0.5,1.0,1.0,nearest,0.5,False,10000,0.09
HRG_T1.50_a0.50_s1,1,HRG,1000,3.998,1.5,0.5,1.0,1.0,nearest,0.5,False,10000,0.117
HRG_T1.50_a0.50_s2,2,HRG,1000,4.0,1.5,0.5,1.0,1.0,nearest,0.5,False,10000,0.135
HRG_T1.50_a0.50_s3,3,HRG,1000,4.0,1.5,0.5,1.0,1.0,nearest,0.5,False,10000,0.138
HRG_T1.50_a0.50_s4,4,HRG,1000,3.998,1.5,0.5,1.0,1.0,nearest,0.5,False,10000,0.107
HRG_T1.50_a0.70_s0,0,HRG,1000,3.998,1.5,0.7,1.0,1.0,nearest,0.5,False,10000,0.19
HRG_T1.50_a0.70_s1,1,HRG,1000,3.998,1.5,0.7,1.0,1.0,nearest,0.5,False,10000,0.212
HRG_T1.50_a0.70_s2,2,HRG,1000,4.0,1.5,0.7,1.0,1.0,nearest,0.5,False,10000,0.25
HRG_T1.50_a0.70_s3,3,HRG,1000,4.0,1.5,0.7,1.0,1.0,nearest,0.5,False,10000,0.274
HRG_T1.50_a0.70_s4,4,HRG,1000,3.998,1.5,0.7,1.0,1.0,nearest,0.5,False,10000,0.2
HRG_T1.50_a0.90_s0,0,HRG,1000,3.998,1.5,0.9,1.0,1.0,nearest,0.5,False,10000,0.481
HRG_T1.50_a0.90_s1,1,HRG,1000,3.998,1.5,0.9,1.0,1.0,nearest,0.5,False,10000,0.549
HRG_T1.50_a0.90_s2,2,HRG,1000,4.0,1.5,0.9,1.0,1.0,nearest,0.5,False,10000,0.531
HRG_T1.50_a0.90_s3,3,HRG,1000,4.0,1.5,0.9,1.0,1.0,nearest,0.5,False,10000,0.521
HRG_T1.50_a0.90_s4,4,HRG,1000,3.998,1.5,0.9,1.0,1.0,nearest,0.5,False,10000,0.506
PAG_T1.10_a0.00_s0,0,PAG,1000,3.994,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.525
PAG_T1.10_a0.00_s1,1,PAG,1000,3.994,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.661
PAG_T1.10_a0.00_s2,2,PAG,1000,3.994,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.555
PAG_T1.10_a0.00_s3,3,PAG,1000,3.994,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.578
PAG_T1.10_a0.00_s4,4,PAG,1000,3.994,1.1,0.0,1.0,1.0,nearest,0.5,False,10000,0.57
PAG_T1.10_a0.30_s0,0,PAG,1000,3.994,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.517
PAG_T1.10_a0.30_s1,1,PAG,1000,3.994,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.683
PAG_T1.10_a0.30_s2,2,PAG,1000,3.994,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.587
PAG_T1.10_a0.30_s3,3,PAG,1000,3.994,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.61
PAG_T1.10_a0.30_s4,4,PAG,1000,3.994,1.1,0.3,1.0,1.0,nearest,0.5,False,10000,0.596
PAG_T1.10_a0.50_s0,0,PAG,1000,3.994,1.1,0.5,1.0,1.0,nearest,0.5,False,10000,0.539
